day,sales
01/09/2016,728
02/09/2016,697
03/09/2016,635
04/09/2016,695
05/09/2016,712
06/09/2016,830
07/09/2016,912
08/09/2016,995
09/09/2016,777
10/09/2016,683
11/09/2016,702
12/09/2016,823
13/09/2016,827
14/09/2016,857
15/09/2016,865
16/09/2016,731
17/09/2016,699
18/09/2016,785
19/09/2016,838
20/09/2016,857
21/09/2016,939
22/09/2016,822
23/09/2016,824
24/09/2016,780
25/09/2016,858
26/09/2016,833
27/09/2016,952
28/09/2016,966
29/09/2016,975
30/09/2016,751
01/10/2016,734
02/10/2016,847
03/10/2016,973
04/10/2016,982
05/10/2016,1017
06/10/2016,906
07/10/2016,747
08/10/2016,692
09/10/2016,795
10/10/2016,889
11/10/2016,915
12/10/2016,881
13/10/2016,907
14/10/2016,766
15/10/2016,792
16/10/2016,840
17/10/2016,941
18/10/2016,1014
19/10/2016,887
20/10/2016,972
21/10/2016,858
22/10/2016,783
23/10/2016,847
24/10/2016,957
25/10/2016,963
26/10/2016,896
27/10/2016,982
28/10/2016,694
29/10/2016,650
30/10/2016,839
31/10/2016,860
01/11/2016,953
02/11/2016,879
03/11/2016,1002
04/11/2016,829
05/11/2016,812
06/11/2016,864
07/11/2016,990
08/11/2016,999
09/11/2016,887
10/11/2016,962
11/11/2016,908
12/11/2016,810
13/11/2016,935
14/11/2016,992
15/11/2016,1011
16/11/2016,975
17/11/2016,1043
18/11/2016,834
19/11/2016,892
20/11/2016,996
21/11/2016,927
22/11/2016,1095
23/11/2016,1053
24/11/2016,906
25/11/2016,827
26/11/2016,870
27/11/2016,982
28/11/2016,1117
29/11/2016,1020
30/11/2016,1083
01/12/2016,1010
02/12/2016,943
03/12/2016,911
04/12/2016,904
05/12/2016,1005
06/12/2016,1047
07/12/2016,1028
08/12/2016,961
09/12/2016,844
10/12/2016,1080
11/12/2016,952
12/12/2016,949
13/12/2016,1055
14/12/2016,959
15/12/2016,938
16/12/2016,876
17/12/2016,794
18/12/2016,823
19/12/2016,1030
20/12/2016,1006
21/12/2016,927
22/12/2016,890
